"registrikood";"tegevusala_kood";"tegevusala_nimetus"
"75011903";"85312 ";"Põhikoolide tegevus "
"75011530";"88101 ";"Vanurite ja puuetega inimeste sotsiaalhoolekanne ilma majutuseta "
"75025621";"93291 ";"Kultuurikeskused ja rahvamajad "
"75011168";"91011 ";"Raamatukogude tegevus "
"75002169";"91011 ";"Raamatukogude tegevus "
"75002132";"93291 ";"Kultuurikeskused ja rahvamajad "
"70004471";"85312 ";"Põhikoolide tegevus "
"75037966";"85529 ";"Muu huvikoolitus "
"75005653";"85312 ";"Põhikoolide tegevus "
"70003158";"84111 ";"Täitev- ja seadusandlike organite tegevus "
"70000349";"84112 ";"Rahandus- ja fiskaalpoliitikaga seotud tegevused "
"75010648";"85102 ";"Lasteaedade tegevus "
"75027726";"85102 ";"Lasteaedade tegevus "
"75019968";"85102 ";"Lasteaedade tegevus "
"75019951";"85312 ";"Põhikoolide tegevus "
"75038925";"91011 ";"Raamatukogude tegevus "
"75019945";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75000874";"91011 ";"Raamatukogude tegevus "
"75016438";"91011 ";"Raamatukogude tegevus "
"75016214";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75035134";"93291 ";"Kultuurikeskused ja rahvamajad "
"75016378";"91011 ";"Raamatukogude tegevus "
"75037937";"88911 ";"Lapsehoiuteenus "
"75016415";"85312 ";"Põhikoolide tegevus "
"75012357";"91011 ";"Raamatukogude tegevus "
"75015249";"85201 ";"Lasteaed-algkoolide tegevus "
"75016450";"91011 ";"Raamatukogude tegevus "
"75038061";"84249 ";"Muud avaliku julgeoleku ja korrakaitsega seotud tegevused "
"75037564";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75036783";"85311 ";"Lasteaed-põhikoolide tegevus "
"75013380";"91011 ";"Raamatukogude tegevus "
"75013351";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75038032";"85529 ";"Muu huvikoolitus "
"75017538";"85202 ";"Algkoolide tegevus "
"75017567";"85102 ";"Lasteaedade tegevus "
"75000845";"85312 ";"Põhikoolide tegevus "
"75014014";"85202 ";"Algkoolide tegevus "
"75019612";"91011 ";"Raamatukogude tegevus "
"75006813";"85313 ";"Gümnaasiumide tegevus "
"75024627";"85311 ";"Lasteaed-põhikoolide tegevus "
"75038664";"88911 ";"Lapsehoiuteenus "
"75024640";"91011 ";"Raamatukogude tegevus "
"75038724";"85529 ";"Muu huvikoolitus "
"75024662";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75024610";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75037417";"85311 ";"Lasteaed-põhikoolide tegevus "
"75013827";"91011 ";"Raamatukogude tegevus "
"75013842";"93291 ";"Kultuurikeskused ja rahvamajad "
"75013807";"87909 ";"Muude mujal liigitamata hoolekandeasutuste tegevus "
"75013782";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75013954";"93291 ";"Kultuurikeskused ja rahvamajad "
"75038871";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75013902";"85102 ";"Lasteaedade tegevus "
"75013871";"85312 ";"Põhikoolide tegevus "
"75013925";"91011 ";"Raamatukogude tegevus "
"75038888";"85529 ";"Muu huvikoolitus "
"75013865";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75020919";"85102 ";"Lasteaedade tegevus "
"75021468";"91021 ";"Muuseumide tegevus "
"75033321";"85529 ";"Muu huvikoolitus "
"75020894";"85312 ";"Põhikoolide tegevus "
"75020925";"84123 ";"Elamu- ja kommunaalmajanduse haldus "
"75018710";"84114 ";"Valla- ja linnavalitsuste tegevus "
"70000958";"84124 ";"Vaba aja tegevuse, kultuuri ja religiooni haldus "
"75013977";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75022999";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75023007";"93291 ";"Kultuurikeskused ja rahvamajad "
"75023013";"91011 ";"Raamatukogude tegevus "
"75009987";"68329 ";"Muu kinnisvarahaldus või haldusega seotud tegevused "
"75021698";"85102 ";"Lasteaedade tegevus "
"75038836";"85312 ";"Põhikoolide tegevus "
"75027593";"93291 ";"Kultuurikeskused ja rahvamajad "
"75018414";"85521 ";"Muusika- ja kunstikoolitus "
"75014267";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75014899";"88101 ";"Vanurite ja puuetega inimeste sotsiaalhoolekanne ilma majutuseta "
"75018012";"85311 ";"Lasteaed-põhikoolide tegevus "
"75018006";"91011 ";"Raamatukogude tegevus "
"75017998";"93291 ";"Kultuurikeskused ja rahvamajad "
"75017981";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75012630";"93291 ";"Kultuurikeskused ja rahvamajad "
"75027117";"85313 ";"Gümnaasiumide tegevus "
"75027086";"93291 ";"Kultuurikeskused ja rahvamajad "
"75027063";"85102 ";"Lasteaedade tegevus "
"75030929";"91011 ";"Raamatukogude tegevus "
"75024248";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75027070";"85521 ";"Muusika- ja kunstikoolitus "
"75027092";"93111 ";"Spordirajatiste käitus "
"75010826";"85312 ";"Põhikoolide tegevus "
"75010884";"91011 ";"Raamatukogude tegevus "
"75033939";"93111 ";"Spordirajatiste käitus "
"75018130";"85101 ";"Lastesõimede tegevus "
"75035476";"85529 ";"Muu huvikoolitus "
"75005050";"85102 ";"Lasteaedade tegevus "
"75024685";"85312 ";"Põhikoolide tegevus "
"75035128";"91011 ";"Raamatukogude tegevus "
"75005044";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75015226";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75022812";"85313 ";"Gümnaasiumide tegevus "
"75022829";"85102 ";"Lasteaedade tegevus "
"75022806";"85521 ";"Muusika- ja kunstikoolitus "
"75022769";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75022752";"93111 ";"Spordirajatiste käitus "
"75034761";"93291 ";"Kultuurikeskused ja rahvamajad "
"75022798";"91011 ";"Raamatukogude tegevus "
"75022781";"93291 ";"Kultuurikeskused ja rahvamajad "
"75022835";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75034425";"93111 ";"Spordirajatiste käitus "
"75007818";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75007770";"85312 ";"Põhikoolide tegevus "
"75007793";"93291 ";"Kultuurikeskused ja rahvamajad "
"75007764";"85102 ";"Lasteaedade tegevus "
"75007758";"39001 ";"Saastekäitlus ja muud jäätmekäitlustegevused "
"75007741";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75007801";"91021 ";"Muuseumide tegevus "
"75007787";"91011 ";"Raamatukogude tegevus "
"75001135";"85311 ";"Lasteaed-põhikoolide tegevus "
"75001164";"91011 ";"Raamatukogude tegevus "
"75001158";"93291 ";"Kultuurikeskused ja rahvamajad "
"75001129";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75008657";"85313 ";"Gümnaasiumide tegevus "
"75024366";"85313 ";"Gümnaasiumide tegevus "
"75008640";"85313 ";"Gümnaasiumide tegevus "
"75008611";"85313 ";"Gümnaasiumide tegevus "
"75024461";"91011 ";"Raamatukogude tegevus "
"75024389";"85521 ";"Muusika- ja kunstikoolitus "
"75008605";"85313 ";"Gümnaasiumide tegevus "
"75024314";"93291 ";"Kultuurikeskused ja rahvamajad "
"75026684";"85521 ";"Muusika- ja kunstikoolitus "
"70005996";"85321 ";"Kutseõppeasutuste tegevus "
"75024283";"85529 ";"Muu huvikoolitus "
"75026767";"85102 ";"Lasteaedade tegevus "
"75026796";"85102 ";"Lasteaedade tegevus "
"75026744";"85102 ";"Lasteaedade tegevus "
"75024372";"85102 ";"Lasteaedade tegevus "
"75026715";"85102 ";"Lasteaedade tegevus "
"75026879";"85102 ";"Lasteaedade tegevus "
"75008692";"85102 ";"Lasteaedade tegevus "
"75026856";"85102 ";"Lasteaedade tegevus "
"75026750";"85102 ";"Lasteaedade tegevus "
"75024426";"85102 ";"Lasteaedade tegevus "
"75026773";"85102 ";"Lasteaedade tegevus "
"75026891";"85102 ";"Lasteaedade tegevus "
"75008670";"85102 ";"Lasteaedade tegevus "
"75026902";"85102 ";"Lasteaedade tegevus "
"75008734";"85102 ";"Lasteaedade tegevus "
"75008663";"85102 ";"Lasteaedade tegevus "
"75024411";"85102 ";"Lasteaedade tegevus "
"75024403";"85102 ";"Lasteaedade tegevus "
"75008686";"85102 ";"Lasteaedade tegevus "
"75009021";"85102 ";"Lasteaedade tegevus "
"75029524";"84113 ";"Majanduse ja sotsiaalse üldplaneerimisega ning statistikaga seot "
"75009148";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75024484";"90012 ";"Kontsertide lavastamine ja esitamine, muusikaline loometegevus "
"75008386";"91012 ";"Arhiivide tegevus "
"75008485";"84119 ";"Mujal liigitamata riigi haldustegevus "
"75029820";"84123 ";"Elamu- ja kommunaalmajanduse haldus "
"75024260";"84124 ";"Vaba aja tegevuse, kultuuri ja religiooni haldus "
"75008427";"84112 ";"Rahandus- ja fiskaalpoliitikaga seotud tegevused "
"75028016";"84119 ";"Mujal liigitamata riigi haldustegevus "
"75009131";"91021 ";"Muuseumide tegevus "
"75024337";"85521 ";"Muusika- ja kunstikoolitus "
"75009160";"85529 ";"Muu huvikoolitus "
"75008723";"85529 ";"Muu huvikoolitus "
"75024449";"85511 ";"Spordikoolid "
"75026661";"85313 ";"Gümnaasiumide tegevus "
"75024357";"85313 ";"Gümnaasiumide tegevus "
"75026690";"85313 ";"Gümnaasiumide tegevus "
"75038078";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75037334";"93111 ";"Spordirajatiste käitus "
"75009177";"85511 ";"Spordikoolid "
"75024292";"85313 ";"Gümnaasiumide tegevus "
"70006027";"85313 ";"Gümnaasiumide tegevus "
"75005541";"85313 ";"Gümnaasiumide tegevus "
"75005558";"91021 ";"Muuseumide tegevus "
"75005512";"93291 ";"Kultuurikeskused ja rahvamajad "
"75005506";"85521 ";"Muusika- ja kunstikoolitus "
"75005535";"91011 ";"Raamatukogude tegevus "
"75005498";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75037328";"87901 ";"Asenduskoduteenust osutavate hoolekandeasutuste tegevus "
"75005529";"85102 ";"Lasteaedade tegevus "
"75026632";"85312 ";"Põhikoolide tegevus "
"75024716";"91011 ";"Raamatukogude tegevus "
"75010306";"85312 ";"Põhikoolide tegevus "
"75039304";"93291 ";"Kultuurikeskused ja rahvamajad "
"75010298";"84114 ";"Valla- ja linnavalitsuste tegevus "
"70003891";"85313 ";"Gümnaasiumide tegevus "
"75013569";"85312 ";"Põhikoolide tegevus "
"75013552";"85102 ";"Lasteaedade tegevus "
"75014681";"91011 ";"Raamatukogude tegevus "
"75013546";"84114 ";"Valla- ja linnavalitsuste tegevus "
"74000240";"94201 ";"Ametiühingute tegevus "
"70001202";"85312 ";"Põhikoolide tegevus "
"75001916";"91011 ";"Raamatukogude tegevus "
"75008019";"91011 ";"Raamatukogude tegevus "
"75007988";"85102 ";"Lasteaedade tegevus "
"75037955";"85102 ";"Lasteaedade tegevus "
"75016036";"93291 ";"Kultuurikeskused ja rahvamajad "
"75014882";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75016154";"85521 ";"Muusika- ja kunstikoolitus "
"75016059";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75016028";"93111 ";"Spordirajatiste käitus "
"75016042";"93291 ";"Kultuurikeskused ja rahvamajad "
"75007965";"91021 ";"Muuseumide tegevus "
"75008031";"93291 ";"Kultuurikeskused ja rahvamajad "
"75008048";"85521 ";"Muusika- ja kunstikoolitus "
"75008060";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75008054";"85312 ";"Põhikoolide tegevus "
"75008025";"91011 ";"Raamatukogude tegevus "
"70004258";"85313 ";"Gümnaasiumide tegevus "
"75008083";"93111 ";"Spordirajatiste käitus "
"75007942";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75007971";"85102 ";"Lasteaedade tegevus "
"75007630";"91011 ";"Raamatukogude tegevus "
"75007617";"93291 ";"Kultuurikeskused ja rahvamajad "
"75023065";"85311 ";"Lasteaed-põhikoolide tegevus "
"75023059";"91011 ";"Raamatukogude tegevus "
"75023036";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75039445";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75034436";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75013405";"85102 ";"Lasteaedade tegevus "
"75038049";"91021 ";"Muuseumide tegevus "
"75013397";"91011 ";"Raamatukogude tegevus "
"75012363";"91011 ";"Raamatukogude tegevus "
"75006078";"85102 ";"Lasteaedade tegevus "
"75006090";"85312 ";"Põhikoolide tegevus "
"70002555";"85321 ";"Kutseõppeasutuste tegevus "
"75027011";"85311 ";"Lasteaed-põhikoolide tegevus "
"75027057";"93291 ";"Kultuurikeskused ja rahvamajad "
"75027034";"91011 ";"Raamatukogude tegevus "
"75027005";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75022918";"85102 ";"Lasteaedade tegevus "
"75038658";"85529 ";"Muu huvikoolitus "
"75020724";"85313 ";"Gümnaasiumide tegevus "
"75020747";"93291 ";"Kultuurikeskused ja rahvamajad "
"75020730";"85102 ";"Lasteaedade tegevus "
"75020769";"85521 ";"Muusika- ja kunstikoolitus "
"75020753";"91011 ";"Raamatukogude tegevus "
"75020718";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75011725";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75002838";"93291 ";"Kultuurikeskused ja rahvamajad "
"75011748";"85312 ";"Põhikoolide tegevus "
"75025489";"93291 ";"Kultuurikeskused ja rahvamajad "
"75011607";"85102 ";"Lasteaedade tegevus "
"75011565";"85312 ";"Põhikoolide tegevus "
"75003186";"85313 ";"Gümnaasiumide tegevus "
"75001282";"85312 ";"Põhikoolide tegevus "
"75001313";"91011 ";"Raamatukogude tegevus "
"75038339";"85529 ";"Muu huvikoolitus "
"75027382";"85313 ";"Gümnaasiumide tegevus "
"75027658";"93291 ";"Kultuurikeskused ja rahvamajad "
"75037742";"85102 ";"Lasteaedade tegevus "
"75027502";"91011 ";"Raamatukogude tegevus "
"75027672";"85521 ";"Muusika- ja kunstikoolitus "
"75001566";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75015338";"93291 ";"Kultuurikeskused ja rahvamajad "
"75020181";"85312 ";"Põhikoolide tegevus "
"75020196";"91011 ";"Raamatukogude tegevus "
"75020204";"93291 ";"Kultuurikeskused ja rahvamajad "
"75024254";"85102 ";"Lasteaedade tegevus "
"75020167";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75034471";"85529 ";"Muu huvikoolitus "
"75002459";"85313 ";"Gümnaasiumide tegevus "
"75002502";"85529 ";"Muu huvikoolitus "
"75002519";"93291 ";"Kultuurikeskused ja rahvamajad "
"75002494";"85102 ";"Lasteaedade tegevus "
"75002436";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75002525";"85521 ";"Muusika- ja kunstikoolitus "
"75002488";"85102 ";"Lasteaedade tegevus "
"75036139";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75002548";"85313 ";"Gümnaasiumide tegevus "
"75037340";"85311 ";"Lasteaed-põhikoolide tegevus "
"75005819";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75031627";"85529 ";"Muu huvikoolitus "
"75002465";"85313 ";"Gümnaasiumide tegevus "
"75035022";"85529 ";"Muu huvikoolitus "
"75001075";"85102 ";"Lasteaedade tegevus "
"75001112";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75001081";"85312 ";"Põhikoolide tegevus "
"75001106";"91011 ";"Raamatukogude tegevus "
"75001069";"93111 ";"Spordirajatiste käitus "
"75001052";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75009326";"85311 ";"Lasteaed-põhikoolide tegevus "
"75009315";"91011 ";"Raamatukogude tegevus "
"75009303";"93291 ";"Kultuurikeskused ja rahvamajad "
"75038196";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75012570";"91011 ";"Raamatukogude tegevus "
"75012558";"93291 ";"Kultuurikeskused ja rahvamajad "
"75012529";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75008924";"93291 ";"Kultuurikeskused ja rahvamajad "
"75008812";"85102 ";"Lasteaedade tegevus "
"75014793";"93291 ";"Kultuurikeskused ja rahvamajad "
"75014801";"91011 ";"Raamatukogude tegevus "
"75014770";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75019922";"85102 ";"Lasteaedade tegevus "
"75037392";"94996 ";"Keskkonna- ja looduskaitseühendused "
"75020641";"85312 ";"Põhikoolide tegevus "
"75019885";"91011 ";"Raamatukogude tegevus "
"70004137";"91021 ";"Muuseumide tegevus "
"75003217";"91011 ";"Raamatukogude tegevus "
"75003140";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75003192";"68329 ";"Muu kinnisvarahaldus või haldusega seotud tegevused "
"75003157";"85102 ";"Lasteaedade tegevus "
"75021190";"93291 ";"Kultuurikeskused ja rahvamajad "
"75021155";"85102 ";"Lasteaedade tegevus "
"75021161";"85102 ";"Lasteaedade tegevus "
"75021184";"91011 ";"Raamatukogude tegevus "
"75021126";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75021178";"85521 ";"Muusika- ja kunstikoolitus "
"75021132";"85313 ";"Gümnaasiumide tegevus "
"75037765";"84124 ";"Vaba aja tegevuse, kultuuri ja religiooni haldus "
"75021149";"85313 ";"Gümnaasiumide tegevus "
"75038517";"85313 ";"Gümnaasiumide tegevus "
"75011323";"85102 ";"Lasteaedade tegevus "
"75011346";"85312 ";"Põhikoolide tegevus "
"75018839";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75007592";"85312 ";"Põhikoolide tegevus "
"75007586";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75034732";"93291 ";"Kultuurikeskused ja rahvamajad "
"75036234";"85529 ";"Muu huvikoolitus "
"75035140";"85102 ";"Lasteaedade tegevus "
"75021356";"85313 ";"Gümnaasiumide tegevus "
"75021391";"85102 ";"Lasteaedade tegevus "
"75021422";"91011 ";"Raamatukogude tegevus "
"75021439";"93291 ";"Kultuurikeskused ja rahvamajad "
"70003164";"84139 ";"Muud majandustegevust toetavad tegevused "
"75038090";"85311 ";"Lasteaed-põhikoolide tegevus "
"75035758";"85311 ";"Lasteaed-põhikoolide tegevus "
"75013233";"93291 ";"Kultuurikeskused ja rahvamajad "
"75027100";"85313 ";"Gümnaasiumide tegevus "
"75011010";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75017337";"85313 ";"Gümnaasiumide tegevus "
"75017952";"85102 ";"Lasteaedade tegevus "
"75000393";"85529 ";"Muu huvikoolitus "
"75033069";"85311 ";"Lasteaed-põhikoolide tegevus "
"75022321";"91011 ";"Raamatukogude tegevus "
"75018609";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75004501";"91011 ";"Raamatukogude tegevus "
"75024165";"91011 ";"Raamatukogude tegevus "
"75024159";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75024171";"86211 ";"Üldarstiabi osutamine "
"75004665";"85202 ";"Algkoolide tegevus "
"75004659";"93291 ";"Kultuurikeskused ja rahvamajad "
"75010743";"85201 ";"Lasteaed-algkoolide tegevus "
"75010766";"91011 ";"Raamatukogude tegevus "
"75022031";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75021994";"91011 ";"Raamatukogude tegevus "
"75022025";"93291 ";"Kultuurikeskused ja rahvamajad "
"75017573";"85102 ";"Lasteaedade tegevus "
"75017580";"85102 ";"Lasteaedade tegevus "
"75014250";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75017544";"85313 ";"Gümnaasiumide tegevus "
"75017277";"93111 ";"Spordirajatiste käitus "
"75018561";"93291 ";"Kultuurikeskused ja rahvamajad "
"75012541";"85201 ";"Lasteaed-algkoolide tegevus "
"75039267";"93111 ";"Spordirajatiste käitus "
"70008747";"84241 ";"Politsei tegevus ja selle juhtimine "
"75006463";"87901 ";"Asenduskoduteenust osutavate hoolekandeasutuste tegevus "
"75035269";"93291 ";"Kultuurikeskused ja rahvamajad "
"75013316";"91011 ";"Raamatukogude tegevus "
"70005677";"85312 ";"Põhikoolide tegevus "
"75009763";"91021 ";"Muuseumide tegevus "
"75021712";"85312 ";"Põhikoolide tegevus "
"75021327";"86211 ";"Üldarstiabi osutamine "
"75024969";"85102 ";"Lasteaedade tegevus "
"70000906";"84239 ";"Muud õiguskaitse ja kohtutega seotud tegevused, prokuratuuri teg "
"75021617";"85313 ";"Gümnaasiumide tegevus "
"75021633";"85102 ";"Lasteaedade tegevus "
"75037133";"88101 ";"Vanurite ja puuetega inimeste sotsiaalhoolekanne ilma majutuseta "
"75021652";"91011 ";"Raamatukogude tegevus "
"75021681";"93291 ";"Kultuurikeskused ja rahvamajad "
"75021600";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75027459";"91011 ";"Raamatukogude tegevus "
"75021385";"85102 ";"Lasteaedade tegevus "
"75021362";"85312 ";"Põhikoolide tegevus "
"75021404";"91011 ";"Raamatukogude tegevus "
"75021445";"93291 ";"Kultuurikeskused ja rahvamajad "
"75002413";"85313 ";"Gümnaasiumide tegevus "
"75031834";"85521 ";"Muusika- ja kunstikoolitus "
"75002407";"85102 ";"Lasteaedade tegevus "
"75002376";"91011 ";"Raamatukogude tegevus "
"75002399";"93291 ";"Kultuurikeskused ja rahvamajad "
"75002347";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75023160";"91011 ";"Raamatukogude tegevus "
"75025578";"85102 ";"Lasteaedade tegevus "
"75025590";"85312 ";"Põhikoolide tegevus "
"75025555";"91011 ";"Raamatukogude tegevus "
"75025549";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75006724";"88101 ";"Vanurite ja puuetega inimeste sotsiaalhoolekanne ilma majutuseta "
"75019230";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75006753";"88101 ";"Vanurite ja puuetega inimeste sotsiaalhoolekanne ilma majutuseta "
"75015663";"91011 ";"Raamatukogude tegevus "
"75027436";"91011 ";"Raamatukogude tegevus "
"75005630";"93111 ";"Spordirajatiste käitus "
"75004719";"85102 ";"Lasteaedade tegevus "
"75038055";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75010984";"85312 ";"Põhikoolide tegevus "
"75010938";"91011 ";"Raamatukogude tegevus "
"75010921";"93291 ";"Kultuurikeskused ja rahvamajad "
"75038471";"84123 ";"Elamu- ja kommunaalmajanduse haldus "
"75000070";"85102 ";"Lasteaedade tegevus "
"75000199";"85102 ";"Lasteaedade tegevus "
"75000093";"85102 ";"Lasteaedade tegevus "
"75001342";"91011 ";"Raamatukogude tegevus "
"75000271";"85313 ";"Gümnaasiumide tegevus "
"75000259";"85312 ";"Põhikoolide tegevus "
"75000377";"85521 ";"Muusika- ja kunstikoolitus "
"75000503";"85521 ";"Muusika- ja kunstikoolitus "
"75000087";"85102 ";"Lasteaedade tegevus "
"75000124";"85102 ";"Lasteaedade tegevus "
"75000207";"85102 ";"Lasteaedade tegevus "
"75000147";"85102 ";"Lasteaedade tegevus "
"75000153";"85102 ";"Lasteaedade tegevus "
"75000182";"85102 ";"Lasteaedade tegevus "
"75035737";"87901 ";"Asenduskoduteenust osutavate hoolekandeasutuste tegevus "
"75000101";"85102 ";"Lasteaedade tegevus "
"75000512";"47783 ";"Meenete, kunstiesemete ja -tarvete jaemüük spetsialiseeritud kau "
"75000489";"90012 ";"Kontsertide lavastamine ja esitamine, muusikaline loometegevus "
"75000064";"84114 ";"Valla- ja linnavalitsuste tegevus "
"74001883";"84231 ";"Kohtute tegevus ja haldus "
"70000603";"84111 ";"Täitev- ja seadusandlike organite tegevus "
"75038782";"85312 ";"Põhikoolide tegevus "
"75000495";"85521 ";"Muusika- ja kunstikoolitus "
"75000130";"85102 ";"Lasteaedade tegevus "
"75000294";"85312 ";"Põhikoolide tegevus "
"75000164";"85102 ";"Lasteaedade tegevus "
"75000229";"85312 ";"Põhikoolide tegevus "
"75000383";"85511 ";"Spordikoolid "
"75000288";"85312 ";"Põhikoolide tegevus "
"75000213";"85102 ";"Lasteaedade tegevus "
"75014669";"85312 ";"Põhikoolide tegevus "
"75000325";"85313 ";"Gümnaasiumide tegevus "
"75000265";"85312 ";"Põhikoolide tegevus "
"75000354";"85601 ";"Haridust abistavad tegevused "
"75000319";"85313 ";"Gümnaasiumide tegevus "
"75000176";"85102 ";"Lasteaedade tegevus "
"75000302";"85312 ";"Põhikoolide tegevus "
"75001773";"85313 ";"Gümnaasiumide tegevus "
"75001780";"85102 ";"Lasteaedade tegevus "
"75001796";"85521 ";"Muusika- ja kunstikoolitus "
"75001810";"91011 ";"Raamatukogude tegevus "
"75001804";"93291 ";"Kultuurikeskused ja rahvamajad "
"75003134";"93111 ";"Spordirajatiste käitus "
"70006369";"85321 ";"Kutseõppeasutuste tegevus "
"70000190";"71209 ";"Muu teimimine ja analüüs "
"75019632";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75019603";"93291 ";"Kultuurikeskused ja rahvamajad "
"75019655";"85102 ";"Lasteaedade tegevus "
"75019715";"91011 ";"Raamatukogude tegevus "
"75028000";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75027429";"91011 ";"Raamatukogude tegevus "
"70000585";"84251 ";"Tuletõrje- ja päästeteenistused, vetelpääste, häirekeskused "
"75038227";"85529 ";"Muu huvikoolitus "
"75004623";"86211 ";"Üldarstiabi osutamine "
"75004607";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75038894";"85529 ";"Muu huvikoolitus "
"75018845";"88101 ";"Vanurite ja puuetega inimeste sotsiaalhoolekanne ilma majutuseta "
"75017745";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75035826";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75035789";"85102 ";"Lasteaedade tegevus "
"75011814";"91011 ";"Raamatukogude tegevus "
"70000071";"84131 ";"Põllumajanduse, metsanduse, maakasutuse, kalanduse ja jahinduse "
"70005967";"84119 ";"Mujal liigitamata riigi haldustegevus "
"70000042";"71209 ";"Muu teimimine ja analüüs "
"75003068";"93291 ";"Kultuurikeskused ja rahvamajad "
"75003080";"85102 ";"Lasteaedade tegevus "
"75003045";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75003105";"91021 ";"Muuseumide tegevus "
"75003097";"85521 ";"Muusika- ja kunstikoolitus "
"75023579";"91011 ";"Raamatukogude tegevus "
"75023496";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75003128";"85313 ";"Gümnaasiumide tegevus "
"75020397";"85312 ";"Põhikoolide tegevus "
"75035654";"85529 ";"Muu huvikoolitus "
"70009741";"85313 ";"Gümnaasiumide tegevus "
"75034229";"84123 ";"Elamu- ja kommunaalmajanduse haldus "
"75009220";"91011 ";"Raamatukogude tegevus "
"75039385";"85312 ";"Põhikoolide tegevus "
"75027666";"93291 ";"Kultuurikeskused ja rahvamajad "
"75009250";"85521 ";"Muusika- ja kunstikoolitus "
"75009214";"85102 ";"Lasteaedade tegevus "
"75009243";"85102 ";"Lasteaedade tegevus "
"70002093";"84111 ";"Täitev- ja seadusandlike organite tegevus "
"75009208";"85521 ";"Muusika- ja kunstikoolitus "
"75009237";"88101 ";"Vanurite ja puuetega inimeste sotsiaalhoolekanne ilma majutuseta "
"75009266";"85311 ";"Lasteaed-põhikoolide tegevus "
